Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,P11310,-0.072402,11.0718,7.032213,3,0.000142572,0.3624867,0.5728216
HUMAN,P11387,-0.13955212,11.044337,7.112301,3,0.000142572,0.13572212,0.40979657
HUMAN,P11388,-0.18014431,9.853283,11.399377,3,0.000142572,0.20114635,0.4886882
HUMAN,P11413,-0.109767914,11.296893,10.900317,3,0.000142572,0.40513045,0.59213173
HUMAN,P11441,-0.09840298,9.757987,14.781829,3,0.000142572,0.47593954,0.63458604
HUMAN,P11474,0.01845169,8.350905,13.84166,3,0.000142572,0.8775832,0.9182539
HUMAN,P11498,-0.27777767,10.952339,12.68525,3,0.000142572,0.07702173,0.28139102
HUMAN,P11532,0.12278271,9.427556,9.686813,3,0.000142572,0.26328388,0.5260633
HUMAN,P11586,-0.087620735,10.702551,7.1855764,3,0.000142572,0.29352018,0.5418978
HUMAN,P11717,-0.05411148,10.409448,7.67691,3,0.000142572,0.52636456,0.6687617
HUMAN,P11766,-0.0866766,12.597322,7.302299,3,0.000142572,0.33214134,0.5589089
HUMAN,P11802,-0.1638794,8.671899,12.382472,3,0.000142572,0.17530411,0.46142223
HUMAN,P11908,-0.08785629,10.376135,5.2814817,3,0.000142572,0.1257373,0.39126828
HUMAN,P11940,-0.07062721,12.4106655,6.079239,3,0.000142572,0.3172442,0.5516102
HUMAN,P12004,-0.097085,12.313239,6.24821,3,0.000142572,0.16110694,0.4467799
HUMAN,P12081,-0.16422844,11.346419,6.3496094,3,0.000142572,0.06114039,0.23352529
HUMAN,P12235,-0.13460732,12.756062,7.2968364,3,0.000142572,0.1264618,0.3923212
HUMAN,P12236,-0.19596958,11.616224,23.16749,3,0.000142572,0.43048316,0.6069812
HUMAN,P12268,-0.09069252,12.151717,7.407808,3,0.000142572,0.3159431,0.5513763
HUMAN,P12270,-0.06954956,11.921779,6.502834,3,0.000142572,0.3506047,0.5658688
HUMAN,P12277,-0.064222336,12.875914,8.486293,3,0.000142572,0.5150441,0.66015744
HUMAN,P12318,-0.15540218,8.73395,19.568146,3,0.000142572,0.37173373,0.5787267
HUMAN,P12429,-0.25386047,9.949878,15.584992,3,0.000142572,0.2013802,0.4886997
HUMAN,P12532,-0.1507473,11.200797,7.10298,3,0.000142572,0.118522,0.37705645
HUMAN,P12755,-0.30543613,10.766727,21.024431,3,0.000142572,0.16470614,0.45039323
HUMAN,P12814,-0.097213745,10.631473,8.991643,3,0.000142572,0.35818455,0.5693105
HUMAN,P12829,-0.090491295,11.308351,3.8201582,3,0.000142572,0.0945429,0.32579622
HUMAN,P12955,0.12987995,8.802645,20.073545,3,0.000142572,0.48275965,0.63875854
HUMAN,P12956,-0.103404045,12.0119095,7.286013,3,0.000142572,0.23770462,0.51423675
HUMAN,P12980,0.0046525,6.887799,20.752773,3,0.00079702446,0.98081887,0.98762333
HUMAN,P13010,-0.11066437,12.418711,7.8705435,3,0.000142572,0.22961725,0.5106779
HUMAN,P13073,-0.09769821,12.091823,5.7843704,3,0.000142572,0.15459794,0.43610784
HUMAN,P13224,-0.13083744,11.4209175,8.998437,3,0.000142572,0.13619944,0.41043785
HUMAN,P13284,-0.1697793,6.4242287,4.0969243,3,0.000142572,0.018081287,0.07767677
HUMAN,P13473,-0.2196312,9.434942,12.430206,3,0.000142572,0.093423955,0.32347935
HUMAN,P13489,-0.06302261,11.168643,7.3351045,3,0.000142572,0.46513522,0.62731487
HUMAN,P13598,-0.23533535,10.585769,6.280073,3,0.00027401015,0.017150454,0.073886335
HUMAN,P13639,-0.093566895,13.59783,9.394421,3,0.000142572,0.36688578,0.57464945
HUMAN,P13667,-0.08456898,11.462886,7.591629,3,0.000142572,0.3331579,0.55914974
HUMAN,P13674,-0.22350788,9.8967905,12.695601,3,0.000142572,0.12326444,0.3868262
HUMAN,P13693,-0.07475376,11.831157,9.447907,3,0.000142572,0.48315543,0.63875854
HUMAN,P13716,0.25919056,8.7530365,10.308778,3,0.000142572,0.081423074,0.2931808
HUMAN,P13796,-0.09340477,12.238863,7.2550173,3,0.000142572,0.30108848,0.5445209
HUMAN,P13798,-0.08119583,10.33458,6.094896,3,0.000142572,0.22154863,0.50469375
HUMAN,P13804,-0.08582497,11.976786,7.7325788,3,0.000142572,0.33724442,0.5606514
HUMAN,P13807,-0.09284496,8.985844,7.0798697,3,0.000142572,0.2887159,0.53971547
HUMAN,P13861,-0.17511368,9.971688,8.068162,3,0.000142572,0.07085275,0.26306826
HUMAN,P13984,-0.095544815,10.275219,12.435032,3,0.000142572,0.49191108,0.64363384
HUMAN,P13987,0.008357048,8.25923,6.5432305,3,0.000142572,0.9109427,0.94088554
HUMAN,P13995,-0.13044357,11.563965,6.0483627,3,0.000142572,0.11433335,0.36998856
HUMAN,P14314,-0.060667038,11.659374,3.8338702,3,0.000142572,0.19439816,0.48231632
HUMAN,P14317,-0.10247707,9.233748,3.8944046,3,0.000142572,0.050109524,0.1961899
HUMAN,P14324,-0.10294342,10.528236,7.9881635,3,0.000142572,0.29518494,0.5421655
HUMAN,P14373,-0.13277149,9.5707445,8.532326,3,0.000142572,0.20310993,0.49035966
HUMAN,P14406,-0.02287674,10.906736,10.581783,3,0.000142572,0.8242481,0.88012564
HUMAN,P14550,-0.011341095,9.347279,7.0463357,3,0.000142572,0.8704505,0.91314167
HUMAN,P14618,-0.098911285,13.106038,7.970563,3,0.000142572,0.30136567,0.5445209
HUMAN,P14625,-0.10431576,15.38034,6.419715,3,0.000142572,0.20782878,0.49465618
HUMAN,P14635,0.05965519,9.297236,8.745619,3,0.000142572,0.42466813,0.6040297
HUMAN,P14649,-0.10451031,9.955927,8.991031,3,0.000142572,0.32986805,0.5585225
HUMAN,P14678,-0.097094536,12.923549,8.190503,3,0.000142572,0.27408132,0.5309788
HUMAN,P14735,-0.085562706,11.496862,7.6397862,3,0.000142572,0.32190084,0.55444163
HUMAN,P14854,-0.056697845,10.261168,6.968988,3,0.000142572,0.43522868,0.6097756
HUMAN,P14859,-0.24106026,9.007105,11.922056,3,0.000142572,0.09570177,0.3285324
