Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,O00399,0.08196449,9.753597,16.346727,3,0.000142572,0.5884443,0.99997884
HUMAN,O00410,-0.044696808,12.070019,7.919284,3,0.000142572,0.5846479,0.99997884
HUMAN,O00411,-0.0683136,9.997893,16.098364,3,0.000142572,0.62261873,0.99997884
HUMAN,O00418,-0.08392429,8.956799,13.385222,3,0.000142572,0.47426516,0.99997884
HUMAN,O00422,-0.081168175,11.1495495,15.475966,3,0.000142572,0.63321555,0.99997884
HUMAN,O00425,0.0017538071,11.232301,6.424971,3,0.000142572,0.9798137,0.99997884
HUMAN,O00429,-0.009785652,9.651944,12.218204,3,0.000142572,0.93612367,0.99997884
HUMAN,O00442,-0.033236504,9.457803,10.564621,3,0.000142572,0.73898584,0.99997884
HUMAN,O00459,0.040079117,9.739202,4.0255804,3,0.000142572,0.3840491,0.9733658
HUMAN,O00461,0.026268005,9.913978,8.003437,3,0.000142572,0.75525975,0.99997884
HUMAN,O00471,-0.09750366,9.54147,8.591991,3,0.000142572,0.27472997,0.79989713
HUMAN,O00483,-0.06402111,9.986527,11.620768,3,0.000142572,0.6195732,0.99997884
HUMAN,O00487,-0.078484535,11.902454,6.375059,3,0.000142572,0.2824123,0.8136493
HUMAN,O00488,-0.2593727,8.658272,10.2328005,3,0.000142572,0.033631798,0.1323178
HUMAN,O00505,0.02229309,9.159315,5.107583,3,0.000142572,0.6269401,0.99997884
HUMAN,O00541,-0.039996147,10.749707,9.474906,3,0.000142572,0.6924745,0.99997884
HUMAN,O00560,-0.27375364,8.079166,12.783497,3,0.000142572,0.09344381,0.33935687
HUMAN,O00566,0.01507473,10.858347,10.143489,3,0.000142572,0.89717835,0.99997884
HUMAN,O00567,-1.4305115e-5,10.935296,10.697097,3,0.000142572,0.999902,0.99997884
HUMAN,O00571,-0.039741516,11.429138,11.9593,3,0.000142572,0.74753976,0.99997884
HUMAN,O00584,0.1774683,9.216144,23.007977,3,0.000142572,0.3946498,0.9870725
HUMAN,O00625,0.21025562,8.466972,19.291412,3,0.000142572,0.20867415,0.65865844
HUMAN,O00629,0.0037431717,11.2437725,9.406285,3,0.000142572,0.9678976,0.99997884
HUMAN,O00716,0.10416889,9.304659,51.859005,3,0.000142572,0.8181549,0.99997884
HUMAN,O00743,0.036024094,9.682701,14.162902,3,0.000142572,0.7822543,0.99997884
HUMAN,O00754,0.10929966,7.307169,15.111301,3,0.00038304392,0.48625034,0.99997884
HUMAN,O00764,-0.04056263,10.545671,6.7002726,3,0.000142572,0.5323305,0.99997884
HUMAN,O00767,0.014308453,7.5193777,17.924015,3,0.000142572,0.9417826,0.99997884
HUMAN,O14497,-0.04172325,10.213503,7.3905582,3,0.000142572,0.530893,0.99997884
HUMAN,O14523,-0.31809092,6.9726653,24.597076,3,0.000142572,0.23413724,0.71874684
HUMAN,O14526,-0.06347656,8.471528,11.785255,3,0.000142572,0.56420106,0.99997884
HUMAN,O14530,-0.01982212,9.295368,10.285274,3,0.000142572,0.8619026,0.99997884
HUMAN,O14545,0.05683422,9.00707,7.0370755,3,0.000142572,0.45259756,0.99997884
HUMAN,O14548,-0.0585289,9.818182,12.12097,3,0.000142572,0.6266676,0.99997884
HUMAN,O14561,-0.012798309,11.877056,4.4032035,3,0.000142572,0.7835844,0.99997884
HUMAN,O14562,0.047777176,9.710326,9.496483,3,0.000142572,0.61438155,0.99997884
HUMAN,O14578,0.09626198,8.583469,13.789688,3,0.000142572,0.44501618,0.99997884
