Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,A0AAG2UWQ9,-0.027833939,23.568027,3.9777803,3,8.2542305e-5,0.44636703,0.56784695
HUMAN,A0AV96,-0.104558945,23.563036,2.1401813,3,8.2542305e-5,0.0031548478,0.007899551
HUMAN,A0AVT1,-0.033527374,22.739164,2.3937714,3,8.2542305e-5,0.16135569,0.2590014
HUMAN,A0FGR8,-0.04540634,23.714905,0.63114905,3,8.2542305e-5,0.0011740109,0.0030970084
HUMAN,A0JLT2,-0.12270355,19.750671,6.807828,3,8.2542305e-5,0.122557715,0.20693076
HUMAN,A0JNW5,0.049013138,21.583548,7.787209,3,8.2542305e-5,0.58838904,0.6946111
HUMAN,A0MZ66,0.06976509,22.330826,5.2693286,3,8.2542305e-5,0.20288482,0.3095314
HUMAN,A0PJW6,-0.033475876,21.952324,10.975904,3,8.2542305e-5,0.7176037,0.8018089
HUMAN,A0PK00,-0.29915237,19.919605,13.34229,3,8.2542305e-5,0.03886048,0.07863272
HUMAN,A1A4S6,0.11128044,19.95041,14.352434,3,8.2542305e-5,0.36819685,0.49204302
HUMAN,A1L0T0,-0.18057442,23.542862,2.9197628,3,8.2542305e-5,0.0038355005,0.009505303
HUMAN,A1L170,-0.1803112,20.764132,9.214947,3,8.2542305e-5,0.14098279,0.23206902
HUMAN,A1L188,-0.35004425,17.784164,43.503136,3,0.00023832222,0.42944783,0.55189824
HUMAN,A1L390,-0.075208664,25.778645,8.765234,3,8.2542305e-5,0.3598849,0.48350397
HUMAN,A1X283,-0.06064415,20.845688,1.7297931,3,8.2542305e-5,0.0170021,0.03784025
HUMAN,A2A2Y4,-0.020261765,17.524687,21.303478,3,8.2542305e-5,0.913318,0.9422713
HUMAN,A2AJT9,-0.04307747,23.454527,11.035986,3,8.2542305e-5,0.66717696,0.7603827
HUMAN,A2RRP1,-0.018220901,21.950068,5.3457446,3,8.2542305e-5,0.7163018,0.80083764
HUMAN,A2RTX5,0.10630417,18.21732,23.88687,3,0.00023777444,0.603678,0.70682776
HUMAN,A2RU67,0.16913795,19.883358,11.76566,3,8.2542305e-5,0.14130323,0.23237471
HUMAN,A2RUC4,0.052013397,20.66608,13.373802,3,8.2542305e-5,0.65536714,0.75032264
HUMAN,A2RUS2,0.10511398,18.553677,26.640865,3,0.00016152479,0.68548703,0.7757588
HUMAN,A3KMH1,-0.004749298,23.382114,2.6153011,3,8.2542305e-5,0.8553433,0.90416867
HUMAN,A3KN83,-0.008775711,23.934198,7.8221016,3,8.2542305e-5,0.89218,0.92814624
HUMAN,A4D1E9,-0.075963974,21.59243,4.1603003,3,8.2542305e-5,0.09120988,0.16192737
HUMAN,A4D1P6,-0.13087845,20.388298,11.859569,3,8.2542305e-5,0.30877167,0.42970368
HUMAN,A5D8V6,0.1693592,20.932917,17.138199,3,8.2542305e-5,0.29690093,0.41775805
