Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,A0AAG2UWQ9,0.11328888,23.48002,2.2582104,3,8.428861e-5,0.0035461062,0.008858604
HUMAN,A0AV96,-0.072380066,23.419832,5.225636,3,8.428861e-5,0.16417475,0.2379271
HUMAN,A0AVF1,0.34701347,20.364384,27.585852,3,0.00032370316,0.2703879,0.35693854
HUMAN,A0AVT1,0.016263962,22.63736,1.7431635,3,8.428861e-5,0.4345703,0.52270514
HUMAN,A0FGR8,0.017324448,23.619398,0.8499823,3,8.428861e-5,0.07516262,0.12481831
HUMAN,A0JLT2,-0.34240913,19.56997,6.904347,3,8.428861e-5,0.009101432,0.020642573
HUMAN,A0JNW5,0.27635956,21.456463,6.235312,3,8.428861e-5,0.0037023842,0.009218447
HUMAN,A0MZ66,0.16164017,22.25174,2.8025305,3,8.428861e-5,0.004405527,0.010814349
HUMAN,A0PJW6,0.021270752,21.879452,7.850344,3,8.428861e-5,0.7877014,0.8325551
HUMAN,A0PK00,-0.08974266,19.888706,6.2584243,3,8.428861e-5,0.21471679,0.29664612
HUMAN,A1A4S6,0.20301056,19.88798,7.353889,3,8.428861e-5,0.03128705,0.060086448
HUMAN,A1L0T0,-0.16760445,23.351566,3.510768,3,8.428861e-5,0.009129184,0.020697212
HUMAN,A1L170,-0.14046669,20.684137,5.7194405,3,8.428861e-5,0.05164048,0.09116726
HUMAN,A1L188,-0.106500626,17.757982,11.529135,3,0.00032370316,0.31120816,0.39976102
HUMAN,A1L390,0.16581154,25.746767,7.2295704,3,8.428861e-5,0.039084632,0.072227016
HUMAN,A1X283,0.09248352,20.813665,5.2037053,3,8.428861e-5,0.0947673,0.15124235
HUMAN,A2A2Y4,0.2988453,17.412443,10.172754,3,8.428861e-5,0.054308474,0.09500201
HUMAN,A2AJT9,-0.06949043,23.353245,19.196856,3,8.428861e-5,0.7188352,0.77609485
HUMAN,A2RRP1,0.0835762,21.838064,2.7238579,3,8.428861e-5,0.04233998,0.07717962
HUMAN,A2RTX5,-0.17334557,18.248592,20.774328,3,0.00016148567,0.3462929,0.4360715
HUMAN,A2RU67,0.09253883,19.852158,3.9303136,3,8.428861e-5,0.053801425,0.09430475
HUMAN,A2RUC4,-0.29401207,20.546137,6.2712445,3,8.428861e-5,0.0034146798,0.008562453
HUMAN,A2RUS2,0.43351746,18.345144,34.426895,3,0.00094525405,0.3080287,0.396533
HUMAN,A3KMH1,0.030412674,23.32882,2.7911127,3,8.428861e-5,0.32669654,0.4161533
HUMAN,A3KN83,0.062072754,23.840263,3.7162974,3,8.428861e-5,0.16572346,0.23971055
HUMAN,A4D1E9,0.044855118,21.518433,2.7183774,3,8.428861e-5,0.18546122,0.26264766
HUMAN,A4D1P6,0.033800125,20.11352,6.741583,3,8.428861e-5,0.56075436,0.63795966
HUMAN,A5D8V6,0.12051964,20.914948,18.297812,3,8.428861e-5,0.44850743,0.5356501
HUMAN,A5PLL7,-0.14958191,20.67817,11.878555,3,8.428861e-5,0.23515628,0.318921
HUMAN,A5PLN9,0.024650574,19.930174,13.421337,3,8.428861e-5,0.83307964,0.8701407
HUMAN,A5YKK6,0.035640717,23.63221,2.0346756,3,8.428861e-5,0.1602174,0.2330885
HUMAN,A5YM69,0.3768444,15.085227,31.439873,3,0.00023837903,0.15894699,0.23153825
HUMAN,A6H8Y1,0.13452148,19.88295,12.725366,3,8.428861e-5,0.26520073,0.35176098
HUMAN,A6NCE7;Q9GZQ8,-0.004907608,21.11991,10.2277155,3,8.428861e-5,0.9537768,0.96549445
HUMAN,A6ND36,-0.15107536,19.76387,8.271942,3,8.428861e-5,0.12705067,0.19280182
HUMAN,A6NDG6,0.090639114,23.087765,2.1502929,3,8.428861e-5,0.014279165,0.030576186
HUMAN,A6NDU8,0.047029495,21.742899,4.9223394,3,8.428861e-5,0.3319881,0.4214191
HUMAN,A6NED2,-0.103717804,23.227503,8.190527,3,8.428861e-5,0.19952342,0.27885914
HUMAN,A6NFI3,0.26621437,20.649975,10.748693,3,8.428861e-5,0.02533164,0.050131105
HUMAN,A6NHL2,-0.08449173,24.825897,14.338226,3,8.428861e-5,0.52081937,0.60163903
HUMAN,A6NHR9,0.04664421,25.326658,1.2685119,3,8.428861e-5,0.021582915,0.043777727
HUMAN,A6NHX0,-0.12305832,19.828154,14.055247,3,0.00016148567,0.35342643,0.4434109
HUMAN,A6NIH7,0.11349869,22.031635,6.2072845,3,8.428861e-5,0.08918458,0.14358959
HUMAN,A6NJ78,0.18370438,19.34874,8.182844,3,8.428861e-5,0.077339426,0.12783226
HUMAN,A6NKD9,0.17952347,18.868122,17.066828,3,8.428861e-5,0.28466314,0.37216076
HUMAN,A6NKF1,0.07363129,19.980742,6.6565003,3,8.428861e-5,0.24732848,0.33212176
HUMAN,A7E2V4,-0.24573898,20.247711,5.718407,3,8.428861e-5,0.009481841,0.021402301
HUMAN,A8CG34,0.05404091,20.390566,16.063593,3,8.428861e-5,0.6932998,0.753485
HUMAN,A8MPP1,-0.010269165,19.759035,15.391963,3,8.428861e-5,0.94671506,0.9600491
HUMAN,A8MQ03,-0.044496536,20.911856,6.858294,3,8.428861e-5,0.44156674,0.52903765
HUMAN,A8MT69,-0.15846252,19.20466,15.878547,3,0.0020596536,0.26917383,0.3557929
HUMAN,A8MTT3,0.103990555,17.60708,13.379501,3,0.00032370316,0.48610038,0.56971264
HUMAN,A8MV65,0.1316452,19.529604,36.13346,3,0.001310111,0.6597373,0.72545433
HUMAN,A8MWD9;P62308,0.123399734,26.66227,7.9938593,3,8.428861e-5,0.13911738,0.20773882
HUMAN,A8MXV4,-0.054330826,21.650097,4.582187,3,8.428861e-5,0.30352393,0.39220786
HUMAN,A9UHW6,0.21450806,19.827818,12.383703,3,8.428861e-5,0.07369325,0.12275693
HUMAN,B0I1T2,0.0062942505,24.523466,1.4802023,3,8.428861e-5,0.6255254,0.6954062
HUMAN,B0YJ81,-0.022766113,16.92866,5.1885414,3,0.00048103905,0.60251105,0.67481124
HUMAN,B3KNS4,0.029130936,19.821674,13.1052265,3,8.428861e-5,0.7973156,0.8405162
HUMAN,B7ZAQ6;P0CG08,-0.014377594,22.625978,5.322407,3,8.428861e-5,0.7619394,0.8115484
HUMAN,C4AMC7;Q6VEQ5,0.30149078,20.439196,3.1569645,3,8.428861e-5,0.0008786659,0.0024195954
HUMAN,C9J7I0,0.12403679,17.588291,19.945292,3,0.00031630555,0.5265264,0.6064344
HUMAN,C9JI98,0.014335632,19.760887,15.55021,3,0.00016148567,0.91084874,0.93279886
HUMAN,C9JLW8,0.49292374,20.341013,14.243099,3,0.0002446184,0.0317099,0.06078492
HUMAN,E9PAV3,0.07501221,26.62428,3.3015602,3,8.428861e-5,0.07302628,0.12175354
HUMAN,E9PRG8,0.21146202,23.086191,6.39402,3,8.428861e-5,0.013179468,0.028534899
HUMAN,H0Y944,0.17880249,23.395342,5.1406393,3,8.428861e-5,0.026389007,0.051932372
HUMAN,L0R819,0.28909302,21.574888,6.0634637,3,8.428861e-5,0.00712004,0.016553873
HUMAN,O00115,0.09643936,22.44595,1.4464575,3,8.428861e-5,0.0028246867,0.007225675
HUMAN,O00116,-0.056928635,23.552044,2.0928214,3,8.428861e-5,0.024457911,0.048640434
HUMAN,O00124,-0.34729195,20.039343,18.80383,3,8.428861e-5,0.117631584,0.18086337
