Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,Q9Y478,-0.6063175,21.71424,11.435794,3,8.336807e-5,0.001141208,0.002375384
HUMAN,Q9Y483,-0.3206787,20.840408,6.069002,3,8.336807e-5,0.007405349,0.011382764
HUMAN,Q9Y484,-0.15188217,22.639668,5.073309,3,8.336807e-5,0.023842227,0.032075714
HUMAN,Q9Y485,-0.025518417,23.53962,8.6627655,3,8.336807e-5,0.7820227,0.8012997
HUMAN,Q9Y487,-0.28518486,21.593172,3.6320999,3,8.336807e-5,0.0017392939,0.0033378648
HUMAN,Q9Y490,-0.10856247,25.255342,0.76160175,3,8.336807e-5,0.00013996483,0.00051023357
HUMAN,Q9Y496,-0.3351612,20.86864,5.4695554,3,8.336807e-5,0.0020728752,0.0038603966
HUMAN,Q9Y4A0,-0.3413391,18.63762,27.527164,3,8.336807e-5,0.27527332,0.30482394
HUMAN,Q9Y4A5,-0.29493523,23.063534,1.5542647,3,8.336807e-5,3.736595e-5,0.00022053615
HUMAN,Q9Y4B4,-0.16283989,22.186855,12.380721,3,8.336807e-5,0.2239063,0.25163734
HUMAN,Q9Y4B5,-0.27038956,22.621056,3.9714725,3,8.336807e-5,0.002950805,0.005203779
HUMAN,Q9Y4B6,-0.36601257,22.42437,3.3600974,3,8.336807e-5,0.00039078234,0.0010481055
HUMAN,Q9Y4C1,-0.020839691,21.282295,8.621097,3,8.336807e-5,0.8347996,0.8496405
HUMAN,Q9Y4C2,-0.19925308,20.773336,2.7708547,3,8.336807e-5,0.0013535215,0.0027171825
HUMAN,Q9Y4C8,-0.1888752,20.716679,3.2945693,3,8.336807e-5,0.0047123483,0.0077090566
HUMAN,Q9Y4D1,-0.18870544,18.811296,9.902387,3,8.336807e-5,0.13399394,0.15626423
HUMAN,Q9Y4D7,-0.0795002,21.466091,28.657606,3,0.0002331727,0.804548,0.8216397
HUMAN,Q9Y4D8,-0.11325455,22.188828,7.375354,3,8.336807e-5,0.15080558,0.17416067
HUMAN,Q9Y4E1,0.053394318,21.936766,5.7831445,3,8.336807e-5,0.32910883,0.36016384
HUMAN,Q9Y4E5,-0.267313,19.644674,2.8471246,3,8.336807e-5,0.0009010444,0.001982644
HUMAN,Q9Y4E6,-0.16993713,22.348581,3.4728584,3,8.336807e-5,0.007876531,0.012008826
HUMAN,Q9Y4E8,-0.31362724,23.687712,2.8882701,3,8.336807e-5,0.0002638431,0.00078597537
HUMAN,Q9Y4F3,-0.15213203,21.289097,2.7710156,3,8.336807e-5,0.0019152723,0.00361879
HUMAN,Q9Y4F5,-0.055742264,21.706123,8.783649,3,8.336807e-5,0.47532088,0.5073016
HUMAN,Q9Y4G6,-0.036649704,24.98208,4.3798656,3,8.336807e-5,0.46438995,0.49656096
HUMAN,Q9Y4G8,-0.6362457,18.432943,17.326153,3,0.0037254621,0.025234949,0.03375828
HUMAN,Q9Y4H2,-0.008239746,24.164513,3.980237,3,8.336807e-5,0.83143026,0.84655327
HUMAN,Q9Y4I1,0.04374695,23.178814,11.8056,3,8.336807e-5,0.7288584,0.7507951
HUMAN,Q9Y4K0,-0.196558,20.775553,12.219293,3,8.336807e-5,0.20577988,0.23253164
HUMAN,Q9Y4K1,-0.092803955,21.275393,6.7551575,3,8.336807e-5,0.193997,0.22012542
HUMAN,Q9Y4K3,-0.24752235,20.289652,4.955609,3,8.336807e-5,0.005377493,0.0086345645
HUMAN,Q9Y4K4,0.103868484,19.368046,13.088478,3,8.336807e-5,0.4362334,0.46840236
HUMAN,Q9Y4L1,-0.18310738,25.356823,1.6525009,3,8.336807e-5,0.00013087879,0.00048908696
HUMAN,Q9Y4P1,-0.092185974,23.112389,4.0834455,3,8.336807e-5,0.07645256,0.092886046
HUMAN,Q9Y4P3,-0.32910538,28.678455,1.8956262,3,8.336807e-5,2.2604938e-5,0.000169463
HUMAN,Q9Y4P8,-0.19084549,21.317991,6.8406224,3,8.336807e-5,0.02833717,0.037454784
HUMAN,Q9Y4R8,-0.4168892,22.484848,2.8628018,3,8.336807e-5,0.00018790222,0.000617113
HUMAN,Q9Y4U1,-0.11746597,18.862768,7.9249926,3,8.336807e-5,0.18958911,0.21559
HUMAN,Q9Y4W2,-0.27140427,23.38936,2.868997,3,8.336807e-5,0.0007523614,0.0017157326
HUMAN,Q9Y4W6,-0.2822895,24.538952,2.3997822,3,8.336807e-5,0.00017439335,0.00058823894
HUMAN,Q9Y4X0,-0.5163193,19.496943,7.2640214,3,8.336807e-5,0.0020558208,0.0038325293
HUMAN,Q9Y4X5,-0.39315796,22.27896,3.008726,3,8.336807e-5,0.00024309139,0.000739609
HUMAN,Q9Y4Z0,-0.47869682,24.234726,5.6664968,3,8.336807e-5,0.00045442756,0.0011730286
HUMAN,Q9Y508,-0.29079628,22.202307,7.5161633,3,8.336807e-5,0.006510866,0.010189408
HUMAN,Q9Y512,-0.43219566,24.618149,2.3146987,3,8.336807e-5,1.7857461e-5,0.00014688716
HUMAN,Q9Y520,-0.14780426,23.255432,2.2256684,3,8.336807e-5,0.0011130158,0.0023305793
HUMAN,Q9Y530,-0.413599,24.718622,6.8246117,3,8.336807e-5,0.004940562,0.008016797
HUMAN,Q9Y535,-0.21205711,19.718992,3.3649895,3,8.336807e-5,0.0019814104,0.0037178257
HUMAN,Q9Y546,-0.2463665,15.456436,38.27478,3,0.000235165,0.5165169,0.54668325
HUMAN,Q9Y547,-0.32009125,23.285627,3.9331944,3,8.336807e-5,0.0017557824,0.0033624873
HUMAN,Q9Y548,-0.20738983,18.018452,5.249211,3,8.336807e-5,0.018516988,0.025601562
HUMAN,Q9Y570,-0.12167168,23.45571,2.8103786,3,8.336807e-5,0.010802297,0.015829545
HUMAN,Q9Y580,-0.46225166,21.56728,5.2217445,3,8.336807e-5,0.0012938385,0.0026241378
HUMAN,Q9Y584,-0.1153183,21.776058,7.992475,3,8.336807e-5,0.2003972,0.22677472
HUMAN,Q9Y587,-0.024677277,21.310444,6.6475687,3,8.336807e-5,0.66814464,0.6942729
HUMAN,Q9Y592,-0.18305206,17.166779,28.173819,3,0.001836345,0.47666144,0.5085169
HUMAN,Q9Y597,-0.13262558,19.18928,6.9923153,3,8.336807e-5,0.08018718,0.09708329
HUMAN,Q9Y5A7,-0.18884468,22.105831,5.1850686,3,8.336807e-5,0.007631324,0.011678801
HUMAN,Q9Y5A9,-0.23445892,23.612904,1.6995802,3,8.336807e-5,4.9471273e-5,0.00026059838
HUMAN,Q9Y5B0,0.008314133,23.246271,7.3084126,3,8.336807e-5,0.89927125,0.9088687
HUMAN,Q9Y5B6,-0.19374847,24.185705,3.8771446,3,8.336807e-5,0.0034737773,0.0059607937
HUMAN,Q9Y5B8,-0.43881035,20.718182,3.423024,3,8.336807e-5,0.00016930998,0.0005769866
HUMAN,Q9Y5B9,-0.27820778,25.266586,2.1621475,3,8.336807e-5,0.00026875455,0.00079627463
HUMAN,Q9Y5C1,-0.3687744,20.15503,9.289076,3,8.336807e-5,0.008657916,0.013037597
HUMAN,Q9Y5J1,-0.4142933,22.81224,2.8056457,3,8.336807e-5,8.0410886e-5,0.00035239218
HUMAN,Q9Y5J5,-0.48256493,19.786465,4.0952168,3,8.336807e-5,0.00021816404,0.0006864355
