Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,O00399,-0.12012005,9.773343,16.346727,3,0.00013659336,0.43585408,0.666357
HUMAN,O00410,-0.09012318,12.1379595,6.958173,3,0.00013659336,0.26876828,0.5721303
HUMAN,O00411,-0.050914764,10.057328,16.098364,3,0.00013659336,0.753096,0.8459726
HUMAN,O00418,-0.1095705,9.053975,15.93444,3,0.00013659336,0.5340857,0.71321625
HUMAN,O00422,-0.18925667,11.2872925,22.348654,3,0.00013659336,0.41326985,0.65515876
HUMAN,O00425,-0.0663414,11.264976,7.8845224,3,0.00013659336,0.42430383,0.6621009
HUMAN,O00429,-0.048729897,9.681399,12.218204,3,0.00013659336,0.7245716,0.8264767
HUMAN,O00442,-0.09583092,9.523036,10.564621,3,0.00013659336,0.44701266,0.67150533
HUMAN,O00459,-0.20692635,9.826193,8.040852,3,0.00013659336,0.04590208,0.14740631
HUMAN,O00461,-0.032844543,9.917299,13.344965,3,0.00013659336,0.7883417,0.86794204
HUMAN,O00471,-0.05409336,9.616698,10.566973,3,0.00013659336,0.58965,0.74257064
HUMAN,O00483,-0.020637512,10.028538,11.620768,3,0.00013659336,0.8483967,0.90786487
HUMAN,O00487,-0.1606121,12.023704,6.375059,3,0.00013659336,0.059749823,0.18685547
HUMAN,O00488,0.05677128,8.75403,8.517765,3,0.00013659336,0.48427415,0.68829614
HUMAN,O00505,-0.109954834,9.20415,5.107583,3,0.00013659336,0.06298508,0.19597916
HUMAN,O00541,-0.13020515,10.836138,10.607748,3,0.00013659336,0.30243877,0.5964301
HUMAN,O00560,0.06821823,8.175854,15.523479,3,0.00013659336,0.6564287,0.7819714
HUMAN,O00566,-0.06223011,10.88224,16.437794,3,0.00013659336,0.6995192,0.8083801
HUMAN,O00567,-0.111881256,10.992328,11.2938175,3,0.00013659336,0.40395072,0.64968026
HUMAN,O00571,-0.10366058,11.501633,11.9593,3,0.00013659336,0.45647898,0.6767473
HUMAN,O00584,-0.22213745,9.240023,23.007977,3,0.00013659336,0.29661617,0.59326196
HUMAN,O00625,-0.3256569,8.530016,19.291412,3,0.00013659336,0.19617072,0.4863548
HUMAN,O00629,-0.105508804,11.295618,9.406285,3,0.00013659336,0.35501236,0.6252642
HUMAN,O00716,-0.33929253,9.431232,16.639826,3,0.00013659336,0.11449081,0.32722646
